lipids	converted_lipid_name
CL 74:10|CL 36:4_38:6	CL 74:10(m)|CL 36:4_38:6(m2)
CL 74:11|CL 16:1_18:2_18:2_22:6	CL 74:11(m)|CL 16:1_18:2_18:2_22:6(m2)
CL 74:11|CL 34:3_40:8	CL 74:11(m)|CL 34:3_40:8(m2)
CL 74:6|CL 18:1_18:1_18:1_20:3	CL 74:6(m)|CL 18:1_18:1_18:1_20:3(m2)
CL 74:7|CL 18:1_18:2_18:1_20:3	CL 74:7(m)|CL 18:1_18:2_18:1_20:3(m2)
CL 74:7|CL 36:3_38:4	CL 74:7(m)|CL 36:3_38:4(m2)
CL 74:8|CL 18:1_18:2_18:2_20:3	CL 74:8(m)|CL 18:1_18:2_18:2_20:3(m2)
CL 74:8|CL 34:1_40:7	CL 74:8(m)|CL 34:1_40:7(m2)
CL 74:8|CL 36:4_38:4	CL 74:8(m)|CL 36:4_38:4(m2)
CL 74:9|CL 16:0_18:1_18:2_22:6	CL 74:9(m)|CL 16:0_18:1_18:2_22:6(m2)
CL 74:9|CL 18:2_18:2_18:2_20:3	CL 74:9(m)|CL 18:2_18:2_18:2_20:3(m2)
CL 74:9|CL 36:3_38:6	CL 74:9(m)|CL 36:3_38:6(m2)
CL 74:9|CL 36:4_38:5	CL 74:9(m)|CL 36:4_38:5(m2)
CL 75:6|CL 17:0_18:0_18:0_22:6	CL 75:6(m)|CL 17:0_18:0_18:0_22:6(m2)
CL 75:8|CL 17:0_18:1_18:1_22:6	CL 75:8(m)|CL 17:0_18:1_18:1_22:6(m2)
CL 76:10|CL 18:1_18:2_18:1_22:6	CL 76:10(m)|CL 18:1_18:2_18:1_22:6(m2)
CL 76:10|CL 36:3_40:7	CL 76:10(m)|CL 36:3_40:7(m2)
CL 76:11|CL 18:1_18:2_18:2_22:6	CL 76:11(m)|CL 18:1_18:2_18:2_22:6(m2)
CL 76:11|CL 36:3_40:8	CL 76:11(m)|CL 36:3_40:8(m2)
CL 76:12|CL 18:2_18:2_18:2_22:6	CL 76:12(m)|CL 18:2_18:2_18:2_22:6(m2)
CL 76:12|CL 36:4_40:8	CL 76:12(m)|CL 36:4_40:8(m2)
CL 76:13|CL 16:1_20:4_20:4_20:4	CL 76:13(m)|CL 16:1_20:4_20:4_20:4(m2)
CL 76:13|CL 38:6_38:7	CL 76:13(m)|CL 38:6_38:7(m2)
