lipids	converted_lipid_name
Cer 28:3;O2|Cer 19:3;O2/9:0	Cer 28:3(O2)|Cer 19:3(O2/9:0)
Cer 29:6;O2|Cer 14:2;O2/15:4	Cer 29:6(O2)|Cer 14:2(O2/15:4)
Cer 34:1;O2|Cer 18:1;O2/16:0	Cer 34:1(O2)|Cer 18:1(O2/16:0)
Cer 36:1;O2|Cer 18:1;O2/18:0	Cer 36:1(O2)|Cer 18:1(O2/18:0)
Cer 37:2;O3|Cer 18:1;O2/19:1;O	Cer 37:2(O3)|Cer 18:1(O2/19:1;O)
Cer 38:0;O2|Cer 20:0;O2/18:0	Cer 38:0(O2)|Cer 20:0(O2/18:0)
Cer 40:1;O2|Cer 18:1;O2/22:0	Cer 40:1(O2)|Cer 18:1(O2/22:0)
Cer 40:3;O2|Cer 17:2;O2/23:1	Cer 40:3(O2)|Cer 17:2(O2/23:1)
Cer 41:1;O2|Cer 18:1;O2/23:0	Cer 41:1(O2)|Cer 18:1(O2/23:0)
Cer 42:1;O2|Cer 18:1;O2/24:0	Cer 42:1(O2)|Cer 18:1(O2/24:0)
Cer 42:2;O2|Cer 18:1;O2/24:1	Cer 42:2(O2)|Cer 18:1(O2/24:1)
Cer 42:6;O2|Cer 18:1;O2/24:5	Cer 42:6(O2)|Cer 18:1(O2/24:5)
Cer 47:8;O4|Cer 29:6;O3(FA 18:1)	Cer 47:8(O4)|Cer 29:6(O3(FA 18:1))
Cer 49:8;O4|Cer 31:6;O3(FA 18:1)	Cer 49:8(O4)|Cer 31:6(O3(FA 18:1))
DG 23:4	DG 23:4
DG 24:3	DG 24:3
DG 25:1	DG 25:1
DG 25:3	DG 25:3
DG 28:1	DG 28:1
DG 28:2	DG 28:2
DG 28:3	DG 28:3
DG 30:1|DG 14:0_16:1	DG 30:1(m)|DG 14:0_16:1(m2)
DG 30:4|DG 15:2_15:2	DG 30:4(m)|DG 15:2_15:2(m2)
DG 30:5	DG 30:5
DG 31:3	DG 31:3
DG 32:0	DG 32:0
DG 32:0|DG 16:0_16:0	DG 32:0(m)|DG 16:0_16:0(m2)
DG 32:1	DG 32:1
DG 32:1|DG 16:0_16:1	DG 32:1(m)|DG 16:0_16:1(m2)
DG 32:2|DG 14:0_18:2	DG 32:2(m)|DG 14:0_18:2(m2)
DG 32:2|DG 16:1_16:1	DG 32:2(m)|DG 16:1_16:1(m2)
DG 33:3	DG 33:3
DG 34:0	DG 34:0
DG 34:0|DG 16:0_18:0	DG 34:0(m)|DG 16:0_18:0(m2)
DG 34:1	DG 34:1
DG 34:1|DG 16:0_18:1	DG 34:1(m)|DG 16:0_18:1(m2)
DG 34:2	DG 34:2
DG 34:2|DG 16:0_18:2	DG 34:2(m)|DG 16:0_18:2(m2)
DG 34:3	DG 34:3
DG 34:3|DG 16:1_18:2	DG 34:3(m)|DG 16:1_18:2(m2)
DG 35:2	DG 35:2
DG 35:3	DG 35:3
DG 36:0	DG 36:0
DG 36:0|DG 18:0_18:0	DG 36:0(m)|DG 18:0_18:0(m2)
DG 36:1|DG 18:0_18:1	DG 36:1(m)|DG 18:0_18:1(m2)
DG 36:2	DG 36:2
DG 36:2|DG 15:0_21:2	DG 36:2(m)|DG 15:0_21:2(m2)
DG 36:2|DG 18:0_18:2	DG 36:2(m)|DG 18:0_18:2(m2)
DG 36:2|DG 18:1_18:1	DG 36:2(m)|DG 18:1_18:1(m2)
DG 36:3	DG 36:3
DG 36:3|DG 18:1_18:2	DG 36:3(m)|DG 18:1_18:2(m2)
DG 36:4	DG 36:4
DG 36:4|DG 18:2_18:2	DG 36:4(m)|DG 18:2_18:2(m2)
DG 36:6	DG 36:6
DG 37:2	DG 37:2
DG 37:2|DG 18:1_19:1	DG 37:2(m)|DG 18:1_19:1(m2)
DG 37:7	DG 37:7
DG 37:8	DG 37:8
DG 38:0|DG 16:0_22:0	DG 38:0(m)|DG 16:0_22:0(m2)
DG 38:0|DG 18:0_20:0	DG 38:0(m)|DG 18:0_20:0(m2)
DG 38:2|DG 16:1_22:1	DG 38:2(m)|DG 16:1_22:1(m2)
